,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,835857,百甲科技,4.97,29.77,1.14,186415,87848995.29,27.42,4.97,3.92,3.98,3.83,16.04,64.25,1.24
1,2,836149,旭杰科技,8.73,17.65,1.31,78939,65217501.84,20.75,8.98,7.44,7.64,7.42,16.49,33.6,3.39
2,3,833873,中设咨询,4.54,12.66,0.51,139912,59509740.19,16.38,4.64,3.98,4.22,4.03,12.81,-9.13,1.82
3,4,600939,重庆建工,2.82,10.16,0.26,485201,133622900.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
4,5,002271,东方雨虹,14.09,9.99,1.28,1067085,1439968813.98,9.06,14.09,12.93,13.21,12.81,5.52,18.2,1.33
5,6,301027,华蓝集团,9.97,9.92,0.9,120079,115667193.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.68,1.56
6,7,002628,成都路桥,2.77,9.92,0.25,259104,71224084.4,4.37,2.77,2.66,2.7,2.52,3.43,-37.61,0.71
7,8,300564,筑博设计,11.78,9.68,1.04,130601,153476133.92,22.53,12.89,10.47,10.94,10.74,11.54,-31.64,1.54
8,9,300746,汉嘉设计,15.94,9.18,1.34,190656,287867414.0,10.14,15.96,14.48,14.7,14.6,8.59,483.61,3.05
9,10,002541,鸿路钢构,14.93,7.8,1.08,125624,181395030.11,7.8,14.99,13.91,14.5,13.85,2.53,12.04,1.15
10,11,300374,中铁装配,19.42,7.59,1.37,417951,798908522.0,16.45,20.46,17.49,17.49,18.05,20.55,-48.86,5.57
11,12,002205,国统股份,8.27,7.12,0.55,105557,84907353.78,8.42,8.44,7.79,7.8,7.72,5.68,-16.58,2.63
12,13,605122,四方新材,10.85,7.0,0.71,31007,32996361.0,7.4,11.0,10.25,10.3,10.14,1.8,82.71,0.84
13,14,600606,绿地控股,2.02,6.32,0.12,1666354,330684222.0,7.37,2.06,1.92,2.04,1.9,1.19,67.7,0.36
14,15,002208,合肥城建,7.48,6.1,0.43,784034,587244483.08,7.66,7.76,7.22,7.76,7.05,9.77,208.62,0.91
15,16,301024,霍普股份,23.53,6.09,1.35,13208,30412554.5,5.95,23.67,22.35,22.61,22.18,7.45,-39.16,2.95
16,17,600502,安徽建工,5.11,6.02,0.29,702193,351204910.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
17,18,002047,宝鹰股份,1.86,5.68,0.1,225704,41517294.52,4.55,1.88,1.8,1.8,1.76,1.68,-6.3,113.14
18,19,002761,浙江建投,9.14,5.54,0.48,389789,349941428.7,4.85,9.19,8.77,9.04,8.66,3.6,29.67,1.5
19,20,601668,中国建筑,6.38,5.45,0.33,5443198,3440417581.0,4.79,6.47,6.18,6.18,6.05,1.32,4.51,0.61
20,21,002822,ST中装,1.81,5.23,0.09,127758,22743773.41,5.23,1.81,1.72,1.74,1.72,2.44,-1.45,0.6
21,22,002789,建艺集团,10.35,5.18,0.51,25141,25611963.2,7.93,10.68,9.9,10.14,9.84,1.91,148.45,45.88
22,23,300500,启迪设计,12.14,5.11,0.59,43882,52008965.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
23,24,000786,北新建材,32.76,4.73,1.48,170062,546007656.71,4.8,32.87,31.37,31.61,31.28,1.04,12.5,2.29
24,25,300517,海波重科,9.5,4.63,0.42,40625,38003031.18,4.85,9.54,9.1,9.3,9.08,3.28,60.4,1.84
25,26,601155,新城控股,14.44,4.56,0.63,461488,654929264.0,5.65,14.6,13.82,14.1,13.81,2.05,12.36,0.53
26,27,300935,盈建科,20.97,4.54,0.91,18130,37065830.12,5.28,20.99,19.93,20.05,20.06,3.01,-33.96,1.93
27,28,600076,康欣新材,1.88,4.44,0.08,152500,28139926.0,4.44,1.88,1.8,1.8,1.8,1.13,-14.48,0.59
28,29,300960,通业科技,21.62,4.44,0.92,18916,40150928.0,4.64,21.66,20.7,21.28,20.7,2.03,78.07,3.82
29,30,000002,万  科Ａ,9.49,4.29,0.39,2941224,2749184599.86,4.07,9.53,9.16,9.41,9.1,3.03,-5.75,0.47
30,31,603017,中衡设计,8.52,4.28,0.35,50741,42759693.0,3.67,8.57,8.27,8.27,8.17,1.84,16.54,1.56
31,32,002596,海南瑞泽,2.35,3.98,0.09,973705,230002942.27,8.85,2.47,2.27,2.37,2.26,9.52,-27.94,2.86
32,33,688646,逸飞激光,29.28,3.87,1.09,5969,17169252.0,3.9,29.3,28.2,28.75,28.19,1.06,34.5,1.71
33,34,300472,新元科技,6.99,3.86,0.26,80221,54594020.0,6.24,7.03,6.61,6.7,6.73,3.2,-33.71,3.25
